2025-07-24 20:08:49,770 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF MARIA DA CRUZ MACENA', 11001534, None, None, None, None, None, None, None)
2025-07-24 20:08:49,774 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEFM MARIANA', 11001550, 809, 118, 28, 335, 0, 356, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF MORVAN FREIRE BRASIL', 11001607, 16, 0, 0, 16, 0, 0, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF JOSE BEDONI', 11001615, None, None, None, None, None, None, None)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF JOSE DE ANCHIETA', 11001623, None, None, None, None, None, None, None)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEFM MURILO BRAGA', 11001640, 1140, 0, 13, 563, 0, 577, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEIEF NACIONAL', 11001658, 484, 0, 19, 397, 87, 0, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF NACOES UNIDAS', 11001666, 237, 0, 12, 237, 0, 0, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEF NOSSA SENHORA DAS GRACAS', 11001712, 251, 0, 10, 251, 0, 0, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF PADRE JOSE DE ANCHIETA', 11001798, 40, 0, 1, 40, 0, 0, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEF GOVERNADOR PAULO NUNES LEAL', 11001810, 198, 0, 27, 179, 0, 19, 0)
2025-07-24 20:08:49,775 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF PADRE CHIQUINHO', 11001828, 492, 0, 40, 492, 0, 0, 0)
2025-07-24 20:08:49,776 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEF PE MARIO CASTAGNA', 11001844, 499, 0, 42, 499, 0, 0, 0)
2025-07-24 20:08:49,776 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEFM PRES TANCREDO DE ALMEIDA NEVES', 11001887, 685, 251, 38, 434, 0, 0, 0)
2025-07-24 20:08:49,776 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF PRESIDENTE MEDICI', 11001895, None, None, None, None, None, None, None)
2025-07-24 20:08:49,776 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEF PRINCESA IZABEL', 11001909, 128, 0, 5, 128, 0, 0, 0)
2025-07-24 20:08:49,776 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF PROF ANTONIO DOS SANTOS', 11001917, None, None, None, None, None, None, None)
2025-07-24 20:08:49,779 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF PROFª MARIA DO CARMO RIBEIRO', 11001950, None, None, None, None, None, None, None)
2025-07-24 20:08:49,780 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEIEF MARIA IZAURA DA COSTA CRUZ', 11001968, 350, 74, 22, 276, 0, 0, 0)
2025-07-24 20:08:49,780 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEF PROF ROBERTO DUARTE PIRES', 11001992, 614, 117, 35, 497, 0, 0, 0)
2025-07-24 20:08:49,786 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEF PROF ELOISA BENTES RAMOS', 11002000, 253, 0, 15, 253, 0, 0, 0)
2025-07-24 20:08:49,786 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EEEFM PROF FLORA CALHEIROS COTRIN', 11002018, 2140, 347, 87, 1098, 0, 695, 0)
2025-07-24 20:08:49,788 - INFO - ('Norte', 1, 'Rondônia', 'RO', 11, 'Porto Velho', 1100205, 1101, 11001, 'EMEF PROF ALZIRA FALCAO', 11002026, None, None, None, None, None, None, None)
2025-07-24 20:08:49,788 - INFO - Instituições retornadas com sucesso!
